10	10	45	81
50	400	1225	786
100	1343	4950	2079
150	3023	11175	3516
200	5789	19900	5230
250	9153	31125	6938
300	13386	44850	9352
350	18520	61075	11488
400	21685	79800	13180
450	27621	101025	14887
500	33828	124750	16752
550	41959	150975	20466
600	49705	179700	22023
650	57602	210925	24428
700	73397	244650	29082
750	79993	280875	31260
800	90263	319600	34098
850	99121	360825	36208
900	110157	404550	40202
950	123089	450775	42006
1000	136775	499500	44453

